2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-03-07,-1,749,Ю 1м/с,-4,752,Ю 1м/с
2011-03-08,-2,756,С 2м/с,-5,758,С 2м/с
2011-03-09,-3,761,З 2м/с,-7,761,З 2м/с
2011-03-10,-1,763,СЗ 2м/с,-9,762,СЗ 2м/с
2011-03-11,-3,761,В 2м/с,-5,758,В 2м/с
2011-03-12,-3,750,ЮВ 1м/с,-5,750,ЮВ 1м/с
2011-03-13,-5,755,Ю 1м/с,-8,755,Ю 1м/с
2012-03-05,-3,740,С 3м/с,-5,740,С 3м/с
2012-03-06,-3,741,В 2м/с,-6,743,В 2м/с
2012-03-07,-6,746,В 2м/с,-9,746,В 2м/с
2012-03-08,-7,750,В 2м/с,-7,750,В 2м/с
2012-03-09,-6,749,ЮВ 2м/с,-13,751,ЮВ 2м/с
2012-03-10,-13,754,В 2м/с,-15,755,В 2м/с
2012-03-11,-10,756,ЮВ 1м/с,-15,758,ЮВ 1м/с
2013-03-04,-10,746,В 4м/с,-12,748,В 4м/с
2013-03-05,-9,747,С 2м/с,-13,748,С 2м/с
2013-03-06,-14,754,С 3м/с,-18,755,С 3м/с
2013-03-07,-2,740,ЮЗ 5м/с,0,740,ЮЗ 5м/с
2013-03-08,-2,742,СЗ 3м/с,-9,746,СЗ 3м/с
2013-03-09,-6,754,З 2м/с,-11,755,З 2м/с
2013-03-10,-10,746,В 2м/с,-9,744,В 2м/с
2014-03-03,-6,757,В 2м/с,-8,757,В 2м/с
2014-03-04,-5,756,ЮВ 2м/с,-8,755,ЮВ 2м/с
2014-03-05,-4,755,З 1м/с,-8,755,З 1м/с
2014-03-06,+1,757,СЗ 2м/с,-4,758,СЗ 2м/с
2014-03-07,+1,764,СЗ 3м/с,-6,764,СЗ 3м/с
2014-03-08,-1,762,З 3м/с,-4,761,З 3м/с
2014-03-09,-2,760,З 2м/с,-4,760,З 2м/с
