2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-01-31,-7,745,З 3м/с,-8,747,З 3м/с
2011-02-01,-10,749,З 1м/с,-12,748,З 1м/с
2011-02-02,-11,747,СЗ 1м/с,-19,749,СЗ 1м/с
2011-02-03,-14,750,ЮЗ 2м/с,-14,750,ЮЗ 2м/с
2011-02-04,-7,748,З 2м/с,-6,747,З 2м/с
2011-02-05,-5,740,Ю 3м/с,-5,737,Ю 3м/с
2011-02-06,-5,728,СВ 2м/с,-6,727,СВ 2м/с
2012-01-30,-16,766,СВ 2м/с,-18,767,СВ 2м/с
2012-01-31,-17,767,В 4м/с,-19,768,В 4м/с
2012-02-01,-19,772,В 3м/с,-21,773,В 3м/с
2012-02-02,-19,772,В 2м/с,-21,772,В 2м/с
2012-02-03,-19,777,В 1м/с,-24,779,В 1м/с
2012-02-04,-15,776,С 2м/с,-20,774,С 2м/с
2012-02-05,-14,770,СВ 2м/с,-16,770,СВ 2м/с
2013-01-28,-14,761,В 1м/с,-18,762,В 1м/с
2013-01-29,-15,759,В 2м/с,-18,759,В 2м/с
2013-01-30,-13,757,В 3м/с,-11,756,В 3м/с
2013-01-31,-4,749,В 4м/с,-5,747,В 4м/с
2013-02-01,-5,743,СЗ 1м/с,-12,743,СЗ 1м/с
2013-02-02,-8,747,В 1м/с,-8,750,В 1м/с
2013-02-03,-3,754,ЮВ 1м/с,-2,755,ЮВ 1м/с
2014-01-27,-17,756,З 2м/с,-21,756,З 2м/с
2014-01-28,-22,759,С 2м/с,-26,760,С 2м/с
2014-01-29,-27,766,С 2м/с,-29,768,С 2м/с
2014-01-30,-23,773,СЗ 2м/с,-25,773,СЗ 2м/с
2014-01-31,-17,774,З 1м/с,-23,774,З 1м/с
2014-02-01,-20,775,В 2м/с,-26,776,В 2м/с
2014-02-02,-19,775,ЮЗ 1м/с,-22,773,ЮЗ 1м/с
