2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-07-25,+32,753,СВ 2м/с,+30,753,СВ 2м/с
2011-07-26,+36,754,Ю 2м/с,+29,754,Ю 2м/с
2011-07-27,+27,753,СЗ 1м/с,+26,751,СЗ 1м/с
2011-07-28,+32,747,Ш,+27,746,Ш
2011-07-29,+34,741,С 3м/с,+23,741,С 3м/с
2011-07-30,+31,740,З 3м/с,+23,740,З 3м/с
2011-07-31,+29,739,С 2м/с,+25,738,С 2м/с
2012-07-23,+29,753,ЮЗ 3м/с,+22,752,ЮЗ 3м/с
2012-07-24,+23,750,З 2м/с,+19,750,З 2м/с
2012-07-25,+24,750,З 2м/с,+20,751,З 2м/с
2012-07-26,+24,749,СЗ 1м/с,+21,749,СЗ 1м/с
2012-07-27,+28,748,ЮЗ 2м/с,+23,746,ЮЗ 2м/с
2012-07-28,+25,748,СЗ 3м/с,+21,749,СЗ 3м/с
2012-07-29,+23,751,С 3м/с,+18,752,С 3м/с
2013-07-22,+23,739,З 2м/с,+15,741,З 2м/с
2013-07-23,+25,744,З 2м/с,+22,744,З 2м/с
2013-07-24,+24,742,ЮВ 2м/с,+18,742,ЮВ 2м/с
2013-07-25,+20,740,З 2м/с,+17,740,З 2м/с
2013-07-26,+20,738,Ю 2м/с,+19,737,Ю 2м/с
2013-07-27,+19,737,СВ 2м/с,+15,739,СВ 2м/с
2013-07-28,+26,741,З 3м/с,+17,742,З 3м/с
2014-07-21,+19,745,СЗ 2м/с,+11,747,СЗ 2м/с
2014-07-22,+24,745,СЗ 4м/с,+19,745,СЗ 4м/с
2014-07-23,+25,745,СЗ 2м/с,+20,746,СЗ 2м/с
2014-07-24,+25,746,СЗ 1м/с,+17,746,СЗ 1м/с
2014-07-25,+23,746,СЗ 3м/с,+17,746,СЗ 3м/с
2014-07-26,+19,745,С 2м/с,+15,746,С 2м/с
2014-07-27,+19,749,СЗ 3м/с,+15,751,СЗ 3м/с
