2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-08-29,+21,750,Ш,+17,750,Ш
2011-08-30,+27,750,З 2м/с,+17,749,З 2м/с
2011-08-31,+30,750,ЮЗ 1м/с,+22,749,ЮЗ 1м/с
2011-09-01,+29,749,З 3м/с,+22,748,З 3м/с
2011-09-02,+28,746,Ю 3м/с,+23,743,Ю 3м/с
2011-09-03,+22,743,Ш,+19,744,Ш
2011-09-04,+21,749,СВ 1м/с,+14,749,СВ 1м/с
2012-08-27,+22,748,СВ 2м/с,+18,748,СВ 2м/с
2012-08-28,+25,748,ЮВ 1м/с,+20,749,ЮВ 1м/с
2012-08-29,+28,747,ЮВ 2м/с,+23,745,ЮВ 2м/с
2012-08-30,+24,741,ЮЗ 3м/с,+17,740,ЮЗ 3м/с
2012-08-31,+13,745,С 3м/с,+12,747,С 3м/с
2012-09-01,+12,747,СЗ 2м/с,+10,748,СЗ 2м/с
2012-09-02,+12,753,С 2м/с,+7,754,С 2м/с
2013-08-26,+21,744,С 2м/с,+12,746,С 2м/с
2013-08-27,+17,750,С 3м/с,+12,752,С 3м/с
2013-08-28,+17,754,С 2м/с,+10,754,С 2м/с
2013-08-29,+22,753,З 2м/с,+15,753,З 2м/с
2013-08-30,+23,752,З 2м/с,+19,752,З 2м/с
2013-08-31,+28,749,Ю 2м/с,+22,747,Ю 2м/с
2013-09-01,+20,745,ЮВ 2м/с,+15,744,ЮВ 2м/с
2014-08-25,+24,751,В 2м/с,+20,750,В 2м/с
2014-08-26,+21,747,В 2м/с,+16,746,В 2м/с
2014-08-27,+22,748,СЗ 1м/с,+13,747,СЗ 1м/с
2014-08-28,+19,745,СВ 1м/с,+16,742,СВ 1м/с
2014-08-29,+19,740,З 6м/с,+15,744,З 6м/с
2014-08-30,+20,746,ЮЗ 3м/с,+13,747,ЮЗ 3м/с
2014-08-31,+17,749,З 3м/с,+12,751,З 3м/с
