2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-06-06,+18,740,СЗ 3м/с,+15,742,СЗ 3м/с
2011-06-07,+14,746,С 3м/с,+11,746,С 3м/с
2011-06-08,+17,743,Ю 2м/с,+12,743,Ю 2м/с
2011-06-09,+17,741,ЮВ 2м/с,+15,740,ЮВ 2м/с
2011-06-10,+17,738,СЗ 2м/с,+16,737,СЗ 2м/с
2011-06-11,+17,735,СЗ 1м/с,+16,735,СЗ 1м/с
2011-06-12,+16,740,З 2м/с,+12,742,З 2м/с
2012-06-04,+12,746,З 2м/с,+11,748,З 2м/с
2012-06-05,+21,749,ЮЗ 2м/с,+19,749,ЮЗ 2м/с
2012-06-06,+22,747,Ш,+21,746,Ш
2012-06-07,+29,743,В 2м/с,+26,741,В 2м/с
2012-06-08,+33,741,ЮЗ 3м/с,+21,742,ЮЗ 3м/с
2012-06-09,+25,746,З 3м/с,+18,746,З 3м/с
2012-06-10,+24,749,СЗ 3м/с,+20,747,СЗ 3м/с
2013-06-03,+26,745,СВ 2м/с,+20,745,СВ 2м/с
2013-06-04,+27,745,СЗ 2м/с,+15,745,СЗ 2м/с
2013-06-05,+20,744,З 3м/с,+15,746,З 3м/с
2013-06-06,+19,746,З 3м/с,+13,747,З 3м/с
2013-06-07,+21,748,СВ 2м/с,+16,749,СВ 2м/с
2013-06-08,+24,748,З 2м/с,+14,747,З 2м/с
2013-06-09,+21,746,С 1м/с,+16,746,С 1м/с
2014-06-02,+29,758,СЗ 3м/с,+19,758,СЗ 3м/с
2014-06-03,+30,758,СЗ 2м/с,+19,757,СЗ 2м/с
2014-06-04,+31,757,СЗ 2м/с,+22,756,СЗ 2м/с
2014-06-05,+31,754,СЗ 1м/с,+21,752,СЗ 1м/с
2014-06-06,+30,749,СЗ 2м/с,+23,749,СЗ 2м/с
2014-06-07,+26,750,СВ 2м/с,+21,751,СВ 2м/с
2014-06-08,+26,751,З 2м/с,+21,750,З 2м/с
